2026-05-31 19:16:24.604 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2026-05-31 19:16:24.658 INFO  [main] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-05-31 19:16:25.104 INFO  [main] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-05-31 19:16:25.139 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-05-31 19:16:25.357 INFO  [main] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@6d617b07
2026-05-31 19:16:25.360 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-05-31 19:16:25.404 WARN  [main] org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-05-31 19:16:27.913 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-05-31 19:16:28.598 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-05-31 19:16:29.371 INFO  [main] o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-05-31 19:16:31.194 INFO  [main] o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
2026-05-31 19:16:31.194 WARN  [main] o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
2026-05-31 19:16:31.361 WARN  [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-05-31 19:16:32.029 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6028b018, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2e47ec5e, org.springframework.security.web.context.SecurityContextHolderFilter@33a1bff8, org.springframework.security.web.header.HeaderWriterFilter@59bedf4d, org.springframework.web.filter.CorsFilter@67fc98fe, org.springframework.security.web.authentication.logout.LogoutFilter@203f929, com.voltmart.ecommerce.security.JwtAuthenticationFilter@270a3cef, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@11d59d0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6a584533, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@39876e1f, org.springframework.security.web.session.SessionManagementFilter@5bfa2801, org.springframework.security.web.access.ExceptionTranslationFilter@7df468f6, org.springframework.security.web.access.intercept.AuthorizationFilter@da87122]
2026-05-31 19:16:32.513 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-05-31 19:16:32.544 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-05-31 19:16:32.557 INFO  [main] c.v.e.EcommerceBackendApplication - Started EcommerceBackendApplication in 10.776 seconds (process running for 11.386)
2026-05-31 19:16:32.700 INFO  [http-nio-8080-exec-6] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-31 19:16:32.700 INFO  [http-nio-8080-exec-6] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-05-31 19:16:32.707 INFO  [http-nio-8080-exec-6] o.s.web.servlet.DispatcherServlet - Completed initialization in 7 ms
